date,store_id,sku_id,units_sold,revenue,margin
2024-06-01,3000,50701,7,441.7,126.21
2024-06-01,3000,50741,11,274.01,78.32
2024-06-01,3000,50988,7,203.91,58.24
2024-06-01,3000,50204,11,724.68,207.02
2024-06-01,3000,50876,3,72.21,20.64
2024-06-01,3000,50483,11,758.12,216.59
2024-06-01,3000,50377,3,188.91,53.97
2024-06-01,3000,50477,7,89.39,25.55
2024-06-01,3000,50003,18,963.9,275.4
2024-06-01,3000,50668,7,376.81,107.66
2024-06-01,3000,50027,3,126.33,36.09
2024-06-01,3000,50743,15,403.35,115.2
2024-06-01,3000,50919,7,110.81,31.64
2024-06-01,3000,50199,7,476.77,136.22
2024-06-01,3000,50595,7,74.76,21.35
2024-06-01,3000,50163,7,186.9,53.41
2024-06-01,3000,50610,7,399.35,114.1
2024-06-01,3000,50930,11,679.91,194.26
2024-06-01,3000,50243,7,426.02,121.73
2024-06-01,3000,50904,3,30.69,8.76
2024-06-01,3000,50301,3,164.1,46.89
2024-06-01,3000,50524,3,81.18,23.19
2024-06-01,3000,50065,18,479.34,136.98
2024-06-01,3000,50166,3,96.21,27.48
2024-06-01,3000,50852,3,90.6,25.89
2024-06-01,3000,50634,7,132.3,37.8
2024-06-01,3000,50234,11,307.89,88.0
2024-06-01,3000,50056,15,405.15,115.8
2024-06-01,3000,50705,7,105.35,30.1
2024-06-01,3000,50395,18,907.02,259.2
2024-06-01,3000,50783,3,38.76,11.07
2024-06-01,3000,50352,7,443.03,126.56
2024-06-01,3000,50565,3,116.67,33.33
2024-06-01,3000,50090,11,84.59,24.2
2024-06-01,3000,50734,7,119.35,34.09
2024-06-01,3000,50844,3,25.08,7.17
2024-06-01,3000,50663,11,211.64,60.5
2024-06-01,3000,50653,11,767.03,219.12
2024-06-01,3000,50546,15,973.95,278.25
2024-06-01,3000,50549,3,132.27,37.8
2024-06-01,3000,50737,11,463.1,132.33
2024-06-01,3000,50846,7,215.18,61.46
2024-06-01,3000,50285,3,47.67,13.62
2024-06-01,3000,50786,3,47.55,13.59
2024-06-01,3000,50354,3,201.69,57.63
2024-06-01,3000,50212,11,408.43,116.71
2024-06-01,3000,50596,3,107.73,30.78
2024-06-01,3000,50501,7,384.72,109.9
2024-06-01,3000,50830,11,310.2,88.66
2024-06-01,3000,50586,11,112.75,32.23
2024-06-01,3000,50643,7,231.28,66.08
2024-06-01,3000,50197,18,534.96,152.82
2024-06-01,3000,50164,3,203.73,58.2
2024-06-01,3000,50545,3,22.71,6.48
2024-06-01,3000,50809,3,21.84,6.24
2024-06-01,3000,50627,15,621.6,177.6
2024-06-01,3000,50806,3,164.19,46.92
2024-06-01,3000,50311,3,124.41,35.55
2024-06-01,3000,50742,7,422.66,120.75
2024-06-01,3000,50761,7,170.03,48.58
2024-06-01,3000,50445,3,204.12,58.32
2024-06-01,3000,50906,11,558.25,159.5
2024-06-01,3000,50169,11,164.12,46.86
2024-06-01,3000,50478,3,79.56,22.74
2024-06-01,3000,50110,7,292.46,83.58
2024-06-01,3000,50819,11,430.32,122.98
2024-06-01,3000,50108,3,202.11,57.75
2024-06-01,3000,50401,7,209.65,59.92
2024-06-01,3000,50961,7,107.73,30.8
2024-06-01,3000,50820,7,132.37,37.8
2024-06-01,3000,50764,15,206.7,59.1
2024-06-01,3000,50933,7,135.52,38.71
2024-06-01,3000,50487,3,84.84,24.24
2024-06-01,3000,50424,3,137.76,39.36
2024-06-01,3000,50650,3,121.83,34.8
2024-06-01,3000,50022,11,268.62,76.78
2024-06-01,3000,50168,3,121.62,34.74
2024-06-01,3000,50207,11,733.92,209.66
2024-06-01,3000,50562,7,331.24,94.64
2024-06-01,3000,50723,7,80.64,23.03
2024-06-01,3000,50633,3,119.16,34.05
2024-06-01,3000,50254,7,434.07,124.04
2024-06-01,3000,50666,11,527.34,150.7
2024-06-01,3000,50355,3,100.35,28.68
2024-06-01,3000,50843,15,624.75,178.5
2024-06-01,3000,50674,7,407.89,116.55
2024-06-01,3000,50130,11,427.24,122.1
2024-06-01,3000,50173,3,52.68,15.06
2024-06-01,3000,50098,7,397.46,113.54
2024-06-01,3000,50072,11,672.21,192.06
2024-06-01,3001,50185,7,200.2,57.19
2024-06-01,3001,50791,11,91.3,26.07
2024-06-01,3001,50930,7,432.67,123.62
2024-06-01,3001,50979,3,177.21,50.64
2024-06-01,3001,50655,11,752.95,215.16
2024-06-01,3001,50058,3,71.16,20.34
2024-06-01,3001,50247,7,476.56,136.15
2024-06-01,3001,50740,3,83.07,23.73
2024-06-01,3001,50965,18,848.16,242.28
2024-06-01,3001,50180,3,63.66,18.18
2024-06-01,3001,50724,18,688.68,196.74
2024-06-01,3001,50084,3,65.34,18.66
2024-06-01,3001,50325,15,299.85,85.65
2024-06-01,3001,50710,7,389.62,111.3
2024-06-01,3001,50676,3,65.07,18.6
2024-06-01,3001,50240,11,682.55,195.03
2024-06-01,3001,50665,11,379.61,108.46
2024-06-01,3001,50362,11,301.4,86.13
2024-06-01,3001,50394,11,756.91,216.26
2024-06-01,3001,50193,11,149.49,42.68
2024-06-01,3001,50195,7,377.79,107.94
2024-06-01,3001,50502,11,85.91,24.53
2024-06-01,3001,50588,15,676.2,193.2
2024-06-01,3001,50961,7,107.73,30.8
2024-06-01,3001,50939,7,165.69,47.32
2024-06-01,3001,50087,3,131.67,37.62
2024-06-01,3001,50751,15,1000.2,285.75
2024-06-01,3001,50198,3,141.0,40.29
2024-06-01,3001,50437,15,300.15,85.8
2024-06-01,3001,50278,3,88.74,25.35
2024-06-01,3001,50098,11,624.58,178.42
2024-06-01,3001,50383,7,283.64,81.06
2024-06-01,3001,50829,11,668.69,191.07
2024-06-01,3001,50755,7,162.19,46.34
2024-06-01,3001,50446,7,387.66,110.74
2024-06-01,3001,50787,18,582.12,166.32
2024-06-01,3001,50030,15,813.75,232.5
2024-06-01,3001,50867,7,169.54,48.44
2024-06-01,3001,50123,11,169.73,48.51
2024-06-01,3001,50302,3,46.17,13.2
2024-06-01,3001,50056,3,81.03,23.16
2024-06-01,3001,50813,18,313.74,89.64
2024-06-01,3001,50315,7,231.28,66.08
2024-06-01,3001,50371,18,501.3,143.28
2024-06-01,3001,50973,18,1173.6,335.34
2024-06-01,3001,50155,7,480.62,137.34
2024-06-01,3001,50581,7,388.01,110.88
2024-06-01,3001,50184,7,132.58,37.87
2024-06-01,3001,50143,15,1035.45,295.8
2024-06-01,3001,50137,15,586.35,167.55
2024-06-01,3001,50489,7,474.25,135.52
2024-06-01,3001,50619,7,470.19,134.33
2024-06-01,3001,50652,3,132.54,37.86
2024-06-01,3001,50073,7,440.51,125.86
2024-06-01,3001,50750,7,355.18,101.5
2024-06-01,3001,50161,15,146.85,42.0
2024-06-01,3001,50384,3,183.57,52.44
2024-06-01,3001,50377,7,440.79,125.93
2024-06-01,3001,50687,3,102.72,29.34
2024-06-01,3002,50427,3,21.09,6.03
2024-06-01,3002,50271,7,136.64,39.06
2024-06-01,3002,50051,15,162.3,46.35
2024-06-01,3002,50992,15,434.7,124.2
2024-06-01,3002,50969,7,451.71,129.08
2024-06-01,3002,50983,3,176.79,50.52
2024-06-01,3002,50961,3,46.17,13.2
2024-06-01,3002,50175,3,78.36,22.38
2024-06-01,3002,50129,7,430.99,123.13
2024-06-01,3002,50423,18,1033.2,295.2
2024-06-01,3002,50114,11,474.21,135.52
2024-06-01,3002,50229,7,412.16,117.74
2024-06-01,3002,50290,7,148.75,42.49
2024-06-01,3002,50893,15,338.55,96.75
2024-06-01,3002,50122,3,191.73,54.78
2024-06-01,3002,50543,15,288.15,82.35
2024-06-01,3002,50599,3,105.0,30.0
2024-06-01,3002,50466,11,396.44,113.3
2024-06-01,3002,50716,3,99.3,28.38
2024-06-01,3002,50586,15,153.75,43.95
2024-06-01,3002,50643,7,231.28,66.08
2024-06-01,3002,50387,7,123.97,35.42
2024-06-01,3002,50102,3,121.89,34.83
2024-06-01,3002,50626,3,112.65,32.19
2024-06-01,3002,50996,3,55.2,15.78
2024-06-01,3002,50682,15,442.05,126.3
2024-06-01,3002,50853,15,153.9,43.95
2024-06-01,3002,50002,11,237.6,67.87
2024-06-01,3002,50529,15,1034.85,295.65
2024-06-01,3002,50604,15,410.7,117.3
2024-06-01,3002,50929,11,681.89,194.81
2024-06-01,3002,50416,7,166.32,47.53
2024-06-01,3002,50603,11,292.71,83.6
2024-06-01,3002,50822,7,92.12,26.32
2024-06-01,3002,50670,11,181.28,51.81
2024-06-01,3002,50093,7,349.37,99.82
2024-06-01,3002,50397,3,170.64,48.75
2024-06-01,3002,50894,11,136.95,39.16
2024-06-01,3002,50311,3,124.41,35.55
2024-06-01,3002,50753,11,95.04,27.17
2024-06-01,3002,50549,15,661.35,189.0
2024-06-01,3002,50995,3,54.93,15.69
2024-06-01,3002,50772,15,677.4,193.5
2024-06-01,3002,50717,3,88.8,25.38
2024-06-01,3002,50972,11,418.11,119.46
2024-06-01,3002,50005,3,54.06,15.45
2024-06-01,3002,50498,11,349.25,99.77
2024-06-01,3002,50703,7,246.4,70.42
2024-06-01,3002,50968,7,163.59,46.76
2024-06-01,3002,50041,3,84.3,24.09
2024-06-01,3002,50409,3,36.63,10.47
2024-06-01,3002,50820,7,132.37,37.8
2024-06-01,3002,50496,7,361.13,103.18
2024-06-01,3002,50018,11,542.74,155.1
2024-06-01,3002,50492,18,162.0,46.26
2024-06-01,3002,50591,7,95.48,27.3
2024-06-01,3002,50369,3,86.52,24.72
2024-06-01,3002,50026,3,99.93,28.56
2024-06-01,3002,50431,3,186.06,53.16
2024-06-01,3002,50554,11,727.76,207.9
2024-06-01,3002,50944,7,435.82,124.53
2024-06-01,3002,50053,11,598.4,170.94
2024-06-01,3002,50428,11,308.11,88.0
2024-06-01,3002,50398,11,260.26,74.36
2024-06-01,3003,50429,10,443.1,126.6
2024-06-01,3003,50519,1,56.04,16.01
2024-06-01,3003,50724,4,153.04,43.72
2024-06-01,3003,50596,7,251.37,71.82
2024-06-01,3003,50189,1,23.03,6.58
2024-06-01,3003,50779,1,24.85,7.1
2024-06-01,3003,50944,1,62.26,17.79
2024-06-01,3003,50558,3,196.26,56.07
2024-06-01,3003,50619,1,67.17,19.19
2024-06-01,3003,50008,3,147.63,42.18
2024-06-01,3003,50928,1,31.72,9.06
2024-06-01,3003,50684,7,318.29,90.93
2024-06-01,3003,50669,1,32.87,9.39
2024-06-01,3003,50532,3,40.56,11.58
2024-06-01,3003,50926,1,34.64,9.9
2024-06-01,3003,50124,3,160.41,45.84
2024-06-01,3003,50372,3,107.55,30.72
2024-06-01,3003,50708,1,13.33,3.81
2024-06-01,3003,50686,3,151.08,43.17
2024-06-01,3003,50486,3,203.88,58.26
2024-06-01,3003,50965,1,47.12,13.46
2024-06-01,3003,50886,7,366.03,104.58
2024-06-01,3003,50836,1,22.43,6.41
2024-06-01,3003,50103,7,115.43,32.97
2024-06-01,3003,50415,1,21.8,6.23
2024-06-01,3003,50942,1,15.01,4.29
2024-06-01,3003,50098,7,397.46,113.54
2024-06-01,3003,50265,6,394.56,112.74
2024-06-01,3003,50568,1,50.4,14.4
2024-06-01,3003,50215,1,47.45,13.56
2024-06-01,3003,50634,4,75.6,21.6
2024-06-01,3003,50982,4,118.96,34.0
2024-06-01,3003,50043,1,59.53,17.01
2024-06-01,3003,50411,4,30.24,8.64
2024-06-01,3003,50803,1,33.81,9.66
2024-06-01,3003,50507,4,139.6,39.88
2024-06-01,3003,50699,3,157.53,45.0
2024-06-01,3003,50837,1,26.87,7.68
2024-06-01,3003,50565,6,233.34,66.66
2024-06-01,3003,50514,4,170.24,48.64
2024-06-01,3003,50653,3,209.19,59.76
2024-06-01,3003,50131,1,11.87,3.39
2024-06-01,3003,50314,3,155.61,44.46
2024-06-01,3003,50235,1,13.94,3.98
2024-06-01,3003,50183,1,10.49,3.0
2024-06-01,3003,50997,6,259.08,74.04
2024-06-01,3003,50099,4,69.84,19.96
2024-06-01,3003,50021,3,100.56,28.74
2024-06-01,3003,50603,1,26.61,7.6
2024-06-01,3003,50353,1,26.21,7.49
2024-06-01,3003,50739,6,188.64,53.88
2024-06-01,3003,50927,4,152.56,43.6
2024-06-01,3003,50321,1,42.35,12.1
2024-06-01,3003,50279,3,92.43,26.4
2024-06-01,3003,50907,3,174.18,49.77
2024-06-01,3003,50346,1,43.72,12.49
2024-06-01,3003,50140,1,19.12,5.46
2024-06-01,3003,50511,3,118.65,33.9
2024-06-01,3003,50212,1,37.13,10.61
2024-06-01,3003,50285,6,95.34,27.24
2024-06-01,3003,50505,3,37.05,10.59
2024-06-01,3003,50506,3,49.47,14.13
2024-06-01,3003,50136,6,233.04,66.6
2024-06-01,3003,50092,1,20.82,5.95
2024-06-01,3003,50712,4,145.44,41.56
2024-06-01,3003,50804,1,12.36,3.53
2024-06-01,3003,50817,1,27.33,7.81
2024-06-01,3003,50338,1,29.92,8.55
2024-06-01,3003,50978,4,93.4,26.68
2024-06-01,3003,50247,1,68.08,19.45
2024-06-01,3003,50362,4,109.6,31.32
2024-06-01,3003,50184,1,18.94,5.41
2024-06-01,3003,50715,4,127.28,36.36
2024-06-01,3003,50339,6,317.34,90.66
2024-06-01,3003,50272,1,9.23,2.64
2024-06-01,3003,50089,6,230.94,66.0
2024-06-01,3003,50016,7,474.04,135.45
2024-06-01,3003,50776,4,227.24,64.92
2024-06-01,3003,50850,3,41.25,11.79
2024-06-01,3003,50273,1,41.59,11.88
2024-06-01,3003,50237,1,25.96,7.42
2024-06-01,3003,50761,4,97.16,27.76
2024-06-01,3003,50318,4,174.68,49.92
2024-06-01,3003,50278,4,118.32,33.8
2024-06-01,3003,50994,1,65.67,18.76
2024-06-01,3003,50172,6,248.82,71.1
2024-06-01,3003,50543,4,76.84,21.96
2024-06-01,3003,50549,4,176.36,50.4
2024-06-01,3004,50348,4,195.28,55.8
2024-06-01,3004,50148,1,31.85,9.1
2024-06-01,3004,50189,4,92.12,26.32
2024-06-01,3004,50135,4,93.48,26.72
2024-06-01,3004,50850,6,82.5,23.58
2024-06-01,3004,50307,7,159.74,45.64
2024-06-01,3004,50985,1,36.26,10.36
2024-06-01,3004,50630,3,156.03,44.58
2024-06-01,3004,50166,1,32.07,9.16
2024-06-01,3004,50471,7,191.87,54.81
2024-06-01,3004,50543,3,57.63,16.47
2024-06-01,3004,50870,3,167.97,48.0
2024-06-01,3004,50303,1,28.71,8.2
2024-06-01,3004,50077,1,38.96,11.13
2024-06-01,3004,50706,3,135.75,38.79
2024-06-01,3004,50881,6,137.16,39.18
2024-06-01,3004,50390,1,28.55,8.16
2024-06-01,3004,50560,1,22.67,6.48
2024-06-01,3004,50598,1,69.86,19.96
2024-06-01,3004,50022,4,97.68,27.92
2024-06-01,3004,50165,3,206.13,58.89
2024-06-01,3004,50033,3,134.43,38.4
2024-06-01,3004,50047,3,63.24,18.06
2024-06-01,3004,50780,3,187.44,53.55
2024-06-01,3004,50829,1,60.79,17.37
2024-06-01,3004,50006,1,65.66,18.76
2024-06-01,3004,50282,1,30.02,8.58
2024-06-01,3004,50771,6,311.88,89.1
2024-06-01,3004,50583,4,260.92,74.56
2024-06-01,3004,50460,3,52.83,15.09
2024-06-01,3004,50569,9,467.82,133.65
2024-06-01,3004,50754,6,210.0,60.0
2024-06-01,3004,50085,3,112.53,32.16
2024-06-01,3004,50001,6,195.96,55.98
2024-06-01,3005,50338,3,89.76,25.65
2024-06-01,3005,50995,6,109.86,31.38
2024-06-01,3005,50911,4,160.6,45.88
2024-06-01,3005,50019,3,204.21,58.35
2024-06-01,3005,50221,3,144.6,41.31
2024-06-01,3005,50081,7,271.67,77.63
2024-06-01,3005,50023,3,55.41,15.84
2024-06-01,3005,50532,3,40.56,11.58
2024-06-01,3005,50389,15,633.6,181.05
2024-06-01,3005,50472,9,395.28,112.95
2024-06-01,3005,50571,6,336.66,96.18
2024-06-01,3005,50027,7,294.77,84.21
2024-06-01,3005,50028,1,34.03,9.72
2024-06-01,3005,50647,3,99.3,28.38
2024-06-01,3005,50826,3,196.32,56.1
2024-06-01,3005,50698,3,32.1,9.18
2024-06-01,3005,50479,3,84.09,24.03
2024-06-01,3005,50089,6,230.94,66.0
2024-06-01,3005,50889,3,21.72,6.21
2024-06-01,3005,50461,3,96.3,27.51
2024-06-01,3005,50300,3,117.39,33.54
2024-06-01,3005,50328,3,130.29,37.23
2024-06-01,3005,50189,1,23.03,6.58
2024-06-01,3005,50016,1,67.72,19.35
2024-06-01,3005,50707,3,189.66,54.18
2024-06-01,3005,50735,1,21.88,6.25
2024-06-01,3005,50816,3,177.69,50.76
2024-06-01,3005,50641,3,139.89,39.96
2024-06-01,3005,50664,1,18.42,5.26
2024-06-01,3005,50258,1,42.35,12.1
2024-06-01,3005,50362,6,164.4,46.98
2024-06-01,3005,50503,1,61.63,17.61
2024-06-01,3005,50845,1,35.91,10.26
2024-06-01,3005,50003,6,321.3,91.8
2024-06-01,3005,50292,6,82.38,23.52
2024-06-01,3005,50164,3,203.73,58.2
2024-06-01,3005,50839,1,20.85,5.96
2024-06-01,3005,50829,3,182.37,52.11
2024-06-01,3005,50204,6,395.28,112.92
2024-06-01,3005,50127,1,61.95,17.7
2024-06-01,3005,50299,1,28.29,8.08
2024-06-01,3005,50308,4,60.52,17.28
2024-06-01,3005,50953,1,41.41,11.83
2024-06-01,3005,50409,1,12.21,3.49
2024-06-01,3005,50352,1,63.29,18.08
2024-06-01,3005,50373,1,25.52,7.29
2024-06-01,3005,50121,1,21.03,6.01
2024-06-01,3005,50279,3,92.43,26.4
2024-06-01,3005,50273,7,291.13,83.16
2024-06-01,3005,50286,4,255.52,73.0
2024-06-01,3005,50813,1,17.43,4.98
2024-06-01,3005,50763,3,181.26,51.78
2024-06-01,3005,50864,1,8.72,2.49
2024-06-01,3005,50268,7,482.16,137.76
2024-06-01,3005,50944,1,62.26,17.79
2024-06-01,3005,50316,4,98.4,28.12
2024-06-01,3005,50917,1,68.81,19.66
2024-06-01,3005,50406,3,82.56,23.58
2024-06-01,3005,50694,4,42.56,12.16
2024-06-01,3005,50513,1,60.8,17.37
2024-06-01,3005,50422,3,174.54,49.86
2024-06-01,3005,50482,1,30.98,8.85
2024-06-01,3005,50952,4,127.96,36.56
2024-06-01,3005,50340,3,194.43,55.56
2024-06-01,3005,50981,3,33.27,9.51
2024-06-01,3005,50445,3,204.12,58.32
2024-06-01,3005,50368,3,88.95,25.41
2024-06-01,3005,50861,4,215.08,61.44
2024-06-01,3005,50972,4,152.04,43.44
2024-06-01,3005,50425,3,133.05,38.01
2024-06-01,3005,50896,3,24.96,7.14
2024-06-01,3005,50119,3,22.14,6.33
2024-06-01,3005,50910,3,146.46,41.85
2024-06-01,3005,50458,3,47.97,13.71
2024-06-01,3005,50613,1,23.0,6.57
2024-06-01,3006,50141,7,345.94,98.84
2024-06-01,3006,50915,4,178.92,51.12
2024-06-01,3006,50446,6,332.28,94.92
2024-06-01,3006,50114,6,258.66,73.92
2024-06-01,3006,50401,4,119.8,34.24
2024-06-01,3006,50250,3,119.07,34.02
2024-06-01,3006,50230,4,159.48,45.56
2024-06-01,3006,50567,1,52.98,15.14
2024-06-01,3006,50630,1,52.01,14.86
2024-06-01,3006,50244,4,36.0,10.28
2024-06-01,3006,50403,9,313.74,89.64
2024-06-01,3006,50321,6,254.1,72.6
2024-06-01,3006,50868,4,113.96,32.56
2024-06-01,3006,50006,3,196.98,56.28
2024-06-01,3006,50758,7,303.52,86.73
2024-06-01,3006,50058,1,23.72,6.78
2024-06-01,3006,50408,4,96.32,27.52
2024-06-01,3006,50418,1,46.61,13.32
2024-06-01,3006,50341,3,150.9,43.11
2024-06-01,3006,50574,7,415.8,118.79
2024-06-01,3006,50082,6,193.02,55.14
2024-06-01,3006,50799,4,67.48,19.28
2024-06-01,3006,50435,4,124.08,35.44
2024-06-01,3006,50856,4,28.6,8.16
2024-06-01,3007,50018,4,197.36,56.4
2024-06-01,3007,50447,1,20.45,5.84
2024-06-01,3007,50261,1,40.29,11.51
2024-06-01,3007,50415,4,87.2,24.92
2024-06-01,3007,50189,3,69.09,19.74
2024-06-01,3007,50095,4,209.44,59.84
2024-06-01,3007,50081,7,271.67,77.63
